H;E;Q;speed_mm_min
2.0;E1;0.35;4.629270753289537
2.0;E1;0.5;4.710280373831775
2.0;E1;0.6;4.754716981132075
2.0;E3;0.35;5.383092196500787
2.0;E3;0.5;5.893947360664853
2.0;E3;0.6;6.234517470107564
2.0;E5;0.35;5.955887536876665
2.0;E5;0.5;6.052469496934124
2.0;E5;0.6;6.052469496934124
3.0;E1;0.35;6.068493026717888
3.0;E1;0.5;6.299517826929937
3.0;E1;0.6;6.344069898066454
3.0;E2;0.35;5.0
3.0;E2;0.5;5.294117647058823
3.0;E2;0.6;5.294117647058823
3.0;E3;0.35;6.475
3.0;E3;0.5;6.475
3.0;E3;0.6;6.475
4.0;E1;0.35;6.024864798537993
4.0;E1;0.5;6.206896551724138
4.0;E1;0.6;6.305220883534137
5.0;E1;0.35;5.020866064156877
5.0;E1;0.5;5.274725274725275
5.0;E1;0.6;5.595979302231025
5.0;E2;0.35;3.3377625654270204
5.0;E2;0.5;3.343898158378173
5.0;E2;0.6;3.6061186914309795
5.0;E3;0.35;4.11530116998987
5.0;E3;0.5;4.450735058338799
5.0;E3;0.6;5.167184551239851
6.0;E1;0.35;4.948179680255467
6.0;E1;0.5;5.406268392967848
6.0;E1;0.6;5.59039445853339
6.0;E2;0.35;5.310218978102189
6.0;E2;0.5;5.762892342642939
6.0;E2;0.6;5.901446221530837
6.0;E3;0.35;4.688297118015541
6.0;E3;0.5;4.797672452537474
6.0;E3;0.6;4.925911775087073
7.0;E1;0.35;4.787239047026421
7.0;E1;0.5;5.551191639658266
7.0;E1;0.6;5.694736879792
7.0;E2;0.35;5.663716814159292
7.0;E2;0.5;5.977099236641221
7.0;E2;0.6;6.274673761730611
7.0;E3;0.35;4.2676539091581365
7.0;E3;0.5;4.343697189934179
7.0;E3;0.6;4.458013596767806
8.0;E1;0.35;3.667598970171481
8.0;E1;0.5;4.113931179653128
8.0;E1;0.6;4.677790492993185
8.0;E2;0.35;5.689655172413793
8.0;E2;0.5;5.892857142857143
8.0;E2;0.6;6.104462809917355
8.0;E3;0.35;4.888101027695336
8.0;E3;0.5;5.192150650749071
8.0;E3;0.6;5.440267097451243
8.0;E4;0.35;3.604684828322315
8.0;E4;0.5;3.623188233969387
8.0;E4;0.6;3.6355238377341017
9.0;E1;0.35;4.100289072852233
9.0;E1;0.5;4.553199920744998
9.0;E1;0.6;4.899934244685665
9.0;E2;0.35;5.588836958056041
9.0;E2;0.5;5.760702412266657
9.0;E2;0.6;5.858473828839447
9.53;E3;0.35;5.696507042253521
9.53;E3;0.5;5.696507042253521
9.53;E3;0.6;5.696507042253521
10.0;E1;0.35;4.215802888700084
10.0;E1;0.5;4.712462686567164
10.0;E1;0.6;5.02262443438914
10.0;E2;0.35;5.586894920246882
10.0;E2;0.5;5.944186046511628
10.0;E2;0.6;6.089172592475766
10.0;E3;0.35;4.8208897671564515
10.0;E3;0.5;5.187775636112139
10.0;E3;0.6;5.256716095771916
10.0;E4;0.35;3.2871400678089193
10.0;E4;0.5;4.242829146865931
10.0;E4;0.6;4.879955199570606
11.0;E1;0.35;3.957560140158488
11.0;E1;0.5;4.090903743773661
11.0;E1;0.6;4.187785057847306
11.0;E2;0.35;5.624423832659109
11.0;E2;0.5;5.693968485922282
11.0;E2;0.6;6.170763260025873
11.0;E3;0.35;4.238630335903161
11.0;E3;0.5;4.918164804024885
11.0;E3;0.6;5.022314176345412
11.09;E1;0.35;3.79201707396597
11.09;E1;0.5;3.79201707396597
11.09;E1;0.6;3.79201707396597
